Type,Threads,Total-Time,Thread-Id,Root-Read-Wait,Root-Write-Wait,Readlock-Wait,Writelock-wait,Readlock-Aquired,Writelock-Aquired,Readlock-Failed,Writelock-Failed,LowFence-Overwrites,Optimistic-Successes,Optimistic-Failures
sorted04/part04,4,81.76,3,12822615040.00,236042.64,17985214464.00,16079631360.00,71293736,44501341,4205456,12148805,59,44500230,59
skew08/part01,8,199.00,0,40496062464.00,2239389.75,57356496896.00,9404806144.00,38999585,22251126,6904393,540855,50,22250236,50
skew08/part02,8,199.00,1,43758518272.00,4987271.00,63382454272.00,9435340800.00,39020947,22251237,4500599,465272,48,22250274,48
skew08/part03,8,199.00,2,40496803840.00,3278137.75,58007117824.00,9347843072.00,38984024,22251667,7262187,589077,57,22250406,58
skew08/part04,8,199.00,3,39907975168.00,1642103.62,56905793536.00,9201925120.00,39168608,22250526,6035263,528194,27,22250061,28
skew08/part05,8,199.00,4,38589362176.00,1679048.38,55862788096.00,9071340544.00,38905517,22250709,6052507,480326,37,22250110,38
skew08/part06,8,199.00,5,42321395712.00,2450268.75,61508521984.00,9568407552.00,38985320,22250713,4977355,463126,35,22250114,36
skew08/part07,8,199.00,6,38598455296.00,1400051.00,55538876416.00,9742853120.00,39335446,22251020,5593676,454812,45,22250201,47
skew08/part08,8,199.00,7,37399515136.00,2862811.50,54443261952.00,9489675264.00,39045409,22251292,5558939,424850,55,22250282,55
sorted08/part01,8,252.15,0,35953188864.00,975147.31,48723091456.00,83313459200.00,35370593,22250937,5867559,27285414,14,22250175,19
sorted08/part02,8,252.15,1,34007932928.00,4328987.00,45919965184.00,64268066816.00,34183922,22251930,5199865,20715038,2,22250488,12
sorted08/part03,8,252.15,2,37704888320.00,3164691.50,50342842368.00,91259838464.00,35359818,22251193,4817590,30533096,24,22250276,28
sorted08/part04,8,252.15,3,35916705792.00,720933.88,48182697984.00,86846570496.00,35172153,22250376,5806809,29744377,16,22250023,20
sorted08/part05,8,252.15,4,35834830848.00,786239.12,48219570176.00,88593219584.00,35324898,22250479,5749261,30874335,20,22250046,22
sorted08/part06,8,252.15,5,35798982656.00,999927.62,48627134464.00,86325444608.00,35500822,22250619,5705961,28803904,21,22250068,27
sorted08/part07,8,252.15,6,34953850880.00,2362837.00,46875910144.00,63611252736.00,33836959,22252343,5084123,20580097,0,22250638,7
sorted08/part08,8,252.15,7,38160871424.00,3061906.25,50608091136.00,88233615360.00,35414358,22250744,4554848,28649510,26,22250111,34
skew16/part01,16,227.36,0,90807812096.00,1193037.12,103727988736.00,4927058944.00,19268232,11125535,15956068,258071,31,11125099,31
skew16/part02,16,227.36,1,92145876992.00,1244235.75,104674271232.00,4771833856.00,19321536,11125452,13075533,244451,21,11125083,21
skew16/part03,16,227.36,2,93820821504.00,1362131.25,106915127296.00,4857758208.00,19952690,11125526,14384193,237834,28,11125093,33
skew16/part04,16,227.36,3,93552795648.00,1342651.00,106760364032.00,4845277696.00,19959659,11125664,14231798,247122,19,11125154,22
